#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Kepler-36    5961.598584    5882.924013    6041.219170    5807.659300    6117.404682      -0.237786      -0.295910      -0.179348      -0.353827      -0.123030      68.456543      67.429558      69.479401      66.433296      70.454208    1218.676880    1194.325073    1243.233643    1170.875000    1266.878052 
Kepler-37    5406.587914    5341.623725    5469.597039    5277.993524    5528.600681      -0.157129      -0.197087      -0.114106      -0.231601      -0.071274     181.999542     181.187088     182.595673     180.343277     182.836136    4537.908203    4518.919434    4563.815430    4511.336426    4590.094238 
Kepler-4    5779.546327    5704.197993    5855.706719    5632.815258    5927.440494       0.104347       0.014217       0.193865      -0.075319       0.267449      74.585388      73.610756      75.556335      72.658241      76.484077    1425.513184    1396.828369    1458.178833    1370.560303    1491.218628 
Kepler-408    6108.598776    6036.325994    6181.543443    5967.263205    6251.294557      -0.135445      -0.222124      -0.049887      -0.303342       0.028591     103.442734     102.843925     104.038872     102.263596     104.597343    2138.866455    2109.553711    2168.242920    2081.563477    2196.380615 
Kepler-409    5443.183266    5370.132467    5517.073318    5301.550523    5588.974088       0.023289      -0.064946       0.110716      -0.153155       0.195528     153.164413     153.026276     153.303116     152.893784     153.436127    3656.665283    3603.799805    3708.816650    3548.981934    3758.076416 
Kepler-410    6327.863954    6253.824327    6402.397020    6182.968893    6473.730323       0.067505      -0.012420       0.147413      -0.091302       0.224639      94.749344      94.194031      95.299637      93.656235      95.819771    1986.664429    1964.229004    2009.031128    1943.000366    2031.048218 
Kepler-444    5046.453088    4975.024515    5119.247234    4907.483419    5189.970626      -0.313667      -0.393638      -0.234417      -0.474619      -0.154717     179.862564     179.120285     180.601974     178.400970     181.295288    4306.483887    4242.177734    4369.154297    4182.225098    4429.951660 
Kepler-50    6209.204793    6134.721171    6286.362900    6066.840268    6360.260493      -0.015283      -0.091295       0.068313      -0.158969       0.142438      75.714516      75.409592      76.018906      75.117126      76.309814    1480.766846    1460.810425    1497.809326    1428.065186    1514.193237 
Kepler-65    6161.773830    6111.661282    6211.499288    6064.958788    6259.587923       0.095206       0.014293       0.168806      -0.064741       0.244088      89.609428      89.143478      90.076347      88.691879      90.520699    1846.098877    1824.563477    1867.678711    1802.301270    1888.707153 
Kepler-68    5796.736960    5726.201429    5868.047928    5657.679479    5935.757143       0.148161       0.110937       0.186565       0.075980       0.222928     101.566383     101.467873     101.665161     101.373123     101.759018    2149.651611    2138.191406    2161.530762    2127.373779    2173.305664 
Kepler-92    5876.952282    5788.570604    5964.060232    5699.080312    6049.150814       0.194785       0.099017       0.283285      -0.000721       0.371230      66.846024      65.836945      67.856026      64.862793      68.822617    1281.010620    1241.559204    1314.403442    1209.353760    1342.328125 
Kepler-93    5662.663613    5589.041589    5737.189286    5519.478676    5809.228148      -0.163029      -0.248631      -0.080480      -0.331956      -0.000526     145.795166     145.352783     146.234344     144.929596     146.656754    3330.977783    3284.580566    3379.818115    3241.230469    3425.358643 
Kepler-95    5684.275908    5615.290694    5755.081641    5550.481310    5825.806609       0.275581       0.193133       0.353860       0.106147       0.418286      83.495094      82.195068      84.794319      80.943260      86.048775    1696.838501    1653.143311    1739.937256    1612.708130    1778.839966 
